N;Evento.URL;Evento.ID;Feito
1;https://www.facebook.com/events/928953893928256;9,29E+14;1
2;https://www.facebook.com/events/182721782478986;1,83E+14;1
3;https://www.facebook.com/events/1309742775837704;1,31E+15;1
4;https://www.facebook.com/events/784884765050516;7,85E+14;1
5;https://www.facebook.com/events/954017108094598;9,54E+14;1
6;https://www.facebook.com/events/145928786117931;1,46E+14;1
7;https://www.facebook.com/events/1975473549440557;1,98E+15;1
8;https://www.facebook.com/events/530700750639751;5,31E+14;1
9;https://www.facebook.com/events/1681715698518095;1,68E+15;1
10;https://www.facebook.com/events/2000263073575638;2E+15;1
11;https://www.facebook.com/events/1341496059272133;1,34E+15;1
12;https://www.facebook.com/events/393768487737840;3,94E+14;1
13;https://www.facebook.com/events/1258797190873503;1,26E+15;1
14;https://www.facebook.com/events/158085044819921;1,58E+14;1
16;https://www.facebook.com/events/277735569418105;2,78E+14;1
15;https://www.facebook.com/events/125235061503752;1,25E+14;1
17;https://www.facebook.com/events/270889276774352;2,70889E+14;1
18;https://www.facebook.com/events/138073670320418;1,38074E+14;1
19;https://www.facebook.com/events/153622238623126;1,53622E+14;1
