nome;horainicio;horafim;NomeLocal;comparecerao;interessados;Confirmados Female;Interessados Female;Confirmados Male;Interessados Male;Descricao;Cidade;Pais;Endereco;Latitude;Longitude;Evento.URL
Bloco da Favorita: uma camada extra de carnaval em SP;03/02/2018 17:00;NA;Largo da Batata;5314;27702;66%;68.7%;34%;31.3%;"TRIDENT X FRESH vai trazer uma CAMADA EXTRA de Carnaval para São Paulo, em parceria com o melhor bloco do Brasil, o Bloco da Favorita. 

Pela primeira na cidade e ao som de muito funk, o Bloco da Favorita vai sacudir multidões no dia 3 de Fevereiro, em Pinheiros. Quem foi que disse que não existe amor em SP mesmo? 

E se você acha que acabou por aí, puxa a cadeira e senta porque lá vem as atrações <f0><U+009F><U+0098><U+008E><f0><U+009F><U+0091><U+008A><f0><U+009F><U+008F><U+00BD>

<U+2728> ATRAÇÕES:
.Bloco da Favorita 
.DJ Wally

+

.MC Bola
.MC Pikeno
.Gabily
.Lucas e Orelha 
.Pocahontas
.Bonde do Tigrão
.Jhowzinho e Kadinho
.Melanina Carioca 



Local: Praça do Trilho no Largo da Batata, em Pinheiros
Horário: 17h às 20h

__________________________________________________

Evento Gratuito.";NA;NA;NA;NA;NA;https://www.facebook.com/events/928953893928256
Filhos da Puc #3 - Pré Carnaval;02/02/2018 22:00;03/02/2018 06:00;Fabrique Club;769;4710;54.73%;61.9%;45.27%;38.1%;"Filhos da Puc #3  - Pré Carnaval 
02.02 - Sexta-Feira  - 22 horas 

Fala Seus Filhos da PUC!!!! 
Saudades das festinhas Puquiana? <f0><U+009F><U+0092><U+0099><f0><U+009F><U+0092><U+009B>Saudades do Carnaval? <f0><U+009F><U+008E><U+0089><f0><U+009F><U+008E><U+008A>

Então se preparem para o maior Carnaval e Integração da PUC-SP!! 
 VAMO BEBE PUQUÊÊ!!! 

As Atleticas de Comunicação, FEA-PUC, R.I, Vikings Exatas da PUC-SP apresentam: 

FILHOS DA PUC #3 
A maior integração Pre-carnaval da Pontifícia!! 

Atrações: 
Grupo querosene (pagode) 
DjBruu (funk) 
Verk (open format / funk nostalgia) 
+ atrações em breve 

Preços: 
Lote Promo R$ 20,00  (Esgotado) 	
1º lote aluno R$ 25,00 (Esgotado) 	
1º lote não aluno R$ 30,00 (Esgotado) 	
2º lote aluno R$ 30,00 	
2º lote não aluno R$ 35,00 	

Link de vendas: https://blacktag.com.br/eventos/1872/filhos-da-puc-3-pre-carnaval

Realização / Apoio: 
Atlética Leão XIII
Atletica Comunicação PUC-SP 
CA Leão XIII
Atlética Psico PUC-SP
Atletica Vikings PUC-SP 
RF Entretenimento  

#FilhosdaPUC #PreCarnaval #LeaoXIII #Pucao #Ursao #Vikings";São Paulo;Brazil;R. Barra Funda, 1071 - Barra Funda;-23,52661;-46,66004;https://www.facebook.com/events/182721782478986
Sidney Magal - O Bloco!;2018-02-11T16:00:00-0200;2018-02-11T20:00:00-0200;Praça da República, República, São Paulo - SP, 01045-001, Brasil;2936;20460;66.5%;72.5%;33.5%;27.5%;"Quando uma lenda viva celebra 50 anos de carreira, como a gente comemora? Dando de presente um bloco inteiro pra ele comandar, é claro! 

Sidney Magal e Rua Livre convidam você para o Bloco do Sidney Magal!! 

Vem sorrir, vem cantar, vem dançar sem parar! Vamos tomar o centro da cidade e berrar AAAAAH, EU TE AMO! AAAAAH EU TE AMO MEU AMOR!!!! E o meu sangue ferve por você....

Dia 11.02 - Domingo de Carnaval! O Bloco do Sidney Magal ocorre logo após o BregsNice, na mesma Carreta do Amor! Serão 8 horas ininterruptas de amores desavairados, loucuras descabeladas e  paixões calientes! Segura coração!!! 

Estamos te esperando!

16:00 - 20:00 . Local - Avenida Xavier de Toledo com São Luís, até o Theatro Municipal! Dispersão largo paiçandu. Centro, SP. 

BLOCO DO SIDNEY MAGAL

#BlocoDoMagal #Magal #RuaLivre #SKOL #CarnavalDeRuaSP #CarnavalDaDiversidade 

IMPORTANTE: Estamos na Rua para sermos Livres! Carnaval é felicidade e alegria! NÃO É NÃO!!! COM RESPEITO TODO MUNDO SAI FELIZ! 

Reallização: Rua Livre 
Cerveja Oficial: SKOL";NA;NA;NA;NA;NA;https://www.facebook.com/events/1309742775837704
Bloco do Síndico 2018;2018-02-18T14:00:00-0300;2018-02-18T20:00:00-0300;Praça Edgard Hermelino Leite;2892;29755;56.9%;65.5%;43.1%;34.5%;"Que beleza! Ahaaaa! Alô vitória régia!
Vem aí o tradicional Bloco do Síndico, trazendo a poesia do mestre Tim Maia para fechar com chave de ouro o carnaval paulistano!
Queremos ver todo mundo dançando. 
Todo mundo cantando. 
Todo mundo mexendo os ossos.

Tradicionalmente fechando o carnaval de São Paulo com chave de ourooo

EVENTOS PRÉ CARNAVAL 2018

19/01 - Traço de União
01/02 - Vila Seu Justino
08/02 - Vila Seu Justino";São Paulo;Brazil;NA;-235.981.312.202;-466.747.789.572;https://www.facebook.com/events/784884765050516
Bloco DOS TROUXAS 2018;2018-02-03T07:00:00-0200;NA;Parque Ibirapuera Conservação;32012;170595;69.3%;62.2%;30.7%;37.8%;Convidem geral pra ser trouxa em 2018;São Paulo;Brazil;Av. República do Líbano, 331;-23.583.265.668.999;-46.662.964.224.815;https://www.facebook.com/events/954017108094598
Bloco Sem Medo e Sem Vergonha;2018-02-02T17:00:00-0200;NA;Praça Da Republica, Sao Paulo.;330;1900;52.81%;57.4%;47.19%;42.6%;;NA;NA;NA;-23,48840024;-46,72736343;https://www.facebook.com/events/145928786117931
Pré Carnaval Unidos do C#$%@ a 4;2018-02-02T23:00:00-0200;NA;Jai Club;1078;6099;22.4%;24.4%;77.6%;75.6%;;São Paulo;Brazil;Rua Vergueiro, 2676 - Vila Mariana;-23,5852604;-46,636261;https://www.facebook.com/events/1975473549440557
BLOCO SEREIANOS - Carnaval 2018;2018-02-03T16:00:00-0200;2018-02-03T22:00:00-0200;Praça da República, República, São Paulo - SP, 01045-001, Brasil;11318;48830;64.3%;67.6%;35.7%;32.4%;;NA;NA;NA;NA;NA;https://www.facebook.com/events/530700750639751
Bloco Ritaleena 2018 - Pinheiros;2018-02-03T14:00:00-0200;2018-02-03T19:00:00-0200;Rua dos Pinheiros com Rua Antonio Bicudo;2172;14766;63.7%;71.5%;36.3%;28.5%;;NA;NA;NA;NA;NA;https://www.facebook.com/events/1681715698518095
After do Carnaval | Caribbean Disco Club;2018-02-03T22:00:00-0200;NA;Caribbean Disco Club - São Paulo;4358;23445;55.6%;56.3%;44.4%;43.7%;;São Paulo;Brazil;Rua. Dos pinheiros 1275;-23,56823;-46,68947;https://www.facebook.com/events/2000263073575638
Bloco do Fervo 2018 (O maior da Zona Norte);2018-02-04T13:00:00-0200;2018-02-04T20:00:00-0200;Praça Heróis Da Força Expedicionária Brasileira.;5204;34648;51.08%;56.7%;48.92%;43.3%;;São Paulo;Brazil;Avenida Santos Dumont;-23,50708902;-46,62821964;https://www.facebook.com/events/1341496059272133
Carnaval na Avenida Nova #Chama;2018-02-10T13:00:00-0200;2018-02-13T23:00:00-0200;Av. Luiz Dumont Villares;4640;16909;47.81%;45.41%;52.19%;54.59%;;São Paulo;Brazil;Avenida Luís Dumont Villares;-23,50065018;-46,61535607;https://www.facebook.com/events/393768487737840
2018 Bloco de Rua das Solteiras & Solteiros (Praça Largo da Batata);2018-02-03T11:00:00-0200;2018-02-04T17:00:00-0200;Bairro Vila Madalena;11027;62701;54.13%;53.24%;45.87%;46.76%;;São Paulo;Brazil;Vila Madalena;-23,55119;-46,69711;https://www.facebook.com/events/1258797190873503
Bloco do Beijo - Carnaval 2018;2018-02-03T11:00:00-0200;2018-02-03T22:00:00-0200;Avenida Brigadeiro Faria Lima;12677;63002;50.89%;51.82%;49.11%;48.18%;;São Paulo;Brazil;Avenida Brigadeiro Faria Lima - Pinheiros, Jardim Europa, Jardim Paulistano e Itaim Bibi;-23,57114963;-46,69073183;https://www.facebook.com/events/158085044819921
Bloco Casa Comigo • Carnaval 2018;2018-02-03T11:00:00-0200;2018-02-03T16:00:00-0200;Avenida Brigadeiro Faria Lima, 432, Pinheiros, São Paulo - SP, 05426-200, Brasil;38667;27597;60.5%;65.4%;39.5%;34.6%;;NA;NA;NA;NA;NA;https://www.facebook.com/events/277735569418105
Bloco Beleza Rara - 03/02;2018-02-03T13:00:00-0200;2018-02-03T17:00:00-0200;Avenida Brigadeiro Faria Lima, 4260;9211;42245;64.1%;64.6%;35.9%;35.4%;;NA;NA;NA;NA;NA;https://www.facebook.com/events/270889276774352
Bloco Amelie Pulando!;2018-02-03T14:00:00-0200;2018-02-03T18:00:00-0200;Rua Vupabussu, 199, Pinheiros, São Paulo - SP, 05429-040, Brasil;2987;28265;71.2%;72.3%;28.8%;27.7%;;NA;NA;NA;NA;NA;https://www.facebook.com/events/138073670320418
Broco da Burocra 2018!;2018-02-07T18:30:00-0200;2018-02-07T22:00:00-0200;Avenida São João, 108, Sé, São Paulo - SP, 01036-000, Brasil;158;865;52.7%;49583%;47.3%;50417%;;NA;NA;NA;NA;NA;https://www.facebook.com/events/153622238623126
